obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('54',)",33.3753013611,1,0,1028.95314944,29,29,1,3.33753013611,29,29,3724598710.13,3724598710.32,3617698167.61,44.36831,-124.95276,0.0,34.0859379979,29,29,internal_timestamp,447.510009766,29,29,613543,1408709367,5.57320022583,29,29,3617698167.61
"('55',)",33.4432983398,1,0,1028.93369757,29,29,1,3.34432983398,29,29,3724598710.13,3724598710.32,3617698176.63,44.36831,-124.95276,0.0,34.0867168674,29,29,internal_timestamp,445.339996338,29,29,630023,1408709376,5.64989995956,29,29,3617698176.63
"('56',)",33.4822006226,1,0,1028.91687842,29,29,1,3.34822006226,29,29,3724598710.13,3724598710.32,3617698187.62,44.36831,-124.95276,0.0,34.0877820566,29,29,internal_timestamp,442.760009766,29,29,617206,1408709387,5.69379997253,29,29,3617698187.62
"('57',)",33.5163993835,1,0,1028.90437283,29,29,1,3.35163993835,29,29,3724598710.13,3724598710.32,3617698197.6,44.36831,-124.95276,0.0,34.0907645697,29,29,internal_timestamp,440.579986572,29,29,599240,1408709397,5.73029994965,29,29,3617698197.6
"('58',)",33.5611000061,1,0,1028.89200384,29,29,1,3.35611000061,29,29,3724598710.13,3724598710.32,3617698207.62,44.36831,-124.95276,0.0,34.0949526807,29,29,internal_timestamp,438.529998779,29,29,624104,1408709407,5.77729988098,29,29,3617698207.62
"('59',)",33.6083984375,1,0,1028.87831905,29,29,1,3.36083984375,29,29,3724598710.13,3724598710.32,3617698216.6,44.36831,-124.95276,0.0,34.0980012263,29,29,internal_timestamp,436.510009766,29,29,598663,1408709416,5.82829999924,29,29,3617698216.6
"('60',)",33.6832008362,1,0,1028.8629263,29,29,1,3.36832008362,29,29,3724598710.13,3724598710.32,3617698227.62,44.36831,-124.95276,0.0,34.1056353761,29,29,internal_timestamp,434.109985352,29,29,616811,1408709427,5.90570020676,29,29,3617698227.62
"('61',)",33.7550010681,1,0,1028.84866354,29,29,1,3.37550010681,29,29,3724598710.13,3724598710.32,3617698237.63,44.36831,-124.95276,0.0,34.113246854,29,29,internal_timestamp,431.869995117,29,29,632016,1408709437,5.9795999527,29,29,3617698237.63
"('62',)",33.8083992004,1,0,1028.8344885,29,29,1,3.38083992004,29,29,3724598710.13,3724598710.32,3617698247.6,44.36831,-124.95276,0.0,34.1182206795,29,29,internal_timestamp,429.579986572,29,29,603176,1408709447,6.03550004959,29,29,3617698247.6
"('63',)",33.8137016296,1,0,1028.82532779,29,29,1,3.38137016296,29,29,3724598710.13,3724598710.32,3617698257.61,44.36831,-124.95276,0.0,34.1211226149,29,29,internal_timestamp,427.209991455,29,29,605904,1408709457,6.03970003128,29,29,3617698257.61
"('64',)",33.8224983215,1,0,1028.81316889,29,29,1,3.38224983215,29,29,3724598710.13,3724598710.32,3617698267.62,44.36831,-124.95276,0.0,34.1216534966,29,29,internal_timestamp,424.779998779,29,29,621449,1408709467,6.0501999855,29,29,3617698267.62
"('65',)",33.8676986694,1,0,1028.79535994,29,29,1,3.38676986694,29,29,3724598710.14,3724598710.32,3617698277.62,44.36831,-124.95276,0.0,34.1220703614,29,29,internal_timestamp,422.350006104,29,29,622471,1408709477,6.10150003433,29,29,3617698277.62
"('66',)",33.8423995972,1,0,1028.78222855,29,29,1,3.38423995972,29,29,3724598710.14,3724598710.32,3617698287.65,44.36831,-124.95276,0.0,34.1158709399,29,29,internal_timestamp,419.929992676,29,29,647777,1408709487,6.08059978485,29,29,3617698287.65
"('67',)",33.820098877,1,0,1028.76836279,29,29,1,3.3820098877,29,29,3724598710.14,3724598710.32,3617698297.61,44.36831,-124.95276,0.0,34.1100834106,29,29,internal_timestamp,417.369995117,29,29,606142,1408709497,6.06269979477,29,29,3617698297.61
"('68',)",33.6953010559,1,0,1028.75560225,29,29,1,3.36953010559,29,29,3724598710.14,3724598710.32,3617698307.61,44.36831,-124.95276,0.0,34.0883870967,29,29,internal_timestamp,414.869995117,29,29,607677,1408709507,5.94589996338,29,29,3617698307.61
"('69',)",33.7372016907,1,0,1028.74669194,29,29,1,3.37372016907,29,29,3724598710.14,3724598710.32,3617698317.61,44.36831,-124.95276,0.0,34.0981615606,29,29,internal_timestamp,412.380004883,29,29,610975,1408709517,5.98430013657,29,29,3617698317.61
"('70',)",33.8684005737,1,0,1028.71430767,29,29,1,3.38684005737,29,29,3724598710.14,3724598710.32,3617698327.66,44.36831,-124.95276,0.0,34.0974663354,29,29,internal_timestamp,409.839996338,29,29,661667,1408709527,6.132999897,29,29,3617698327.66
"('71',)",33.8258018494,1,0,1028.70619091,29,29,1,3.38258018494,29,29,3724598710.14,3724598710.33,3617698337.62,44.36831,-124.95276,0.0,34.0935969774,29,29,internal_timestamp,407.470001221,29,29,623898,1408709537,6.09040021896,29,29,3617698337.62
"('72',)",33.8436012268,1,0,1028.69538634,29,29,1,3.38436012268,29,29,3724598710.14,3724598710.33,3617698347.65,44.36831,-124.95276,0.0,34.0957712135,29,29,internal_timestamp,405.299987793,29,29,650908,1408709547,6.10920000076,29,29,3617698347.65
"('73',)",33.8869018555,1,0,1028.67720947,29,29,1,3.38869018555,29,29,3724598710.14,3724598710.33,3617698357.61,44.36831,-124.95276,0.0,34.0951350211,29,29,internal_timestamp,402.940002441,29,29,612905,1408709557,6.15939998627,29,29,3617698357.61
"('74',)",33.8927993774,1,0,1028.66660883,29,29,1,3.38927993774,29,29,3724598710.14,3724598710.33,3617698367.62,44.36831,-124.95276,0.0,34.0970358286,29,29,internal_timestamp,400.480010986,29,29,616884,1408709567,6.16529989243,29,29,3617698367.62
"('75',)",33.9121017456,1,0,1028.65414808,29,29,1,3.39121017456,29,29,3724598710.14,3724598710.33,3617698377.64,44.36831,-124.95276,0.0,34.0994426927,29,29,internal_timestamp,397.959991455,29,29,636379,1408709577,6.18569993973,29,29,3617698377.64
"('76',)",33.9177017212,1,0,1028.64134367,29,29,1,3.39177017212,29,29,3724598710.14,3724598710.33,3617698386.68,44.36831,-124.95276,0.0,34.0977998784,29,29,internal_timestamp,395.720001221,29,29,678461,1408709586,6.19469976425,29,29,3617698386.68
"('77',)",33.9341011047,1,0,1028.62723733,29,29,1,3.39341011047,29,29,3724598710.14,3724598710.33,3617698397.63,44.36831,-124.95276,0.0,34.0984016037,29,29,internal_timestamp,393.109985352,29,29,629633,1408709597,6.21369981766,29,29,3617698397.63
